user_id,item_id,rating
0,100,5
0,102,4
0,105,3
0,110,5
0,115,4
1,101,4
1,104,5
1,108,3
1,112,4
1,120,5
2,100,3
2,102,5
2,109,4
2,113,5
2,118,4
3,103,4
3,105,5
3,111,3
3,116,4
3,122,5
4,100,5
4,101,4
4,106,5
4,109,3
4,119,4
5,104,4
5,108,5
5,110,3
5,114,4
5,123,5
6,102,5
6,105,4
6,112,3
6,117,5
6,124,4
7,103,3
7,109,4
7,115,5
7,118,3
7,125,4
8,100,4
8,106,5
8,111,4
8,119,3
8,120,5
9,101,5
9,108,4
9,113,5
9,116,4
9,122,3
10,102,5
10,105,4
10,110,3
10,114,4
10,126,5
11,103,4
11,107,5
11,112,3
11,118,5
11,124,4
12,100,3
12,109,5
12,111,4
12,115,5
12,120,4
13,101,4
13,106,5
13,113,3
13,116,4
13,125,5
14,102,5
14,108,4
14,114,3
14,119,5
14,126,4
15,103,3
15,110,5
15,112,4
15,117,5
15,122,3
16,100,5
16,104,4
16,109,3
16,115,5
16,123,4
17,101,3
17,107,5
17,111,4
17,118,3
17,124,5
18,102,4
18,108,5
18,112,3
18,116,4
18,125,5
19,103,5
19,105,4
19,110,5
19,119,3
19,126,4
