user_id,item_id,rating,genre
1,1270,5,Sci-Fi
1,1097,4,Sci-Fi
1,260,4,Sci-Fi
2,2628,3,Sci-Fi
2,2916,3,Sci-Fi
2,1210,4,Sci-Fi
2,1253,3,Sci-Fi
2,1544,4,Sci-Fi
2,3471,5,Sci-Fi
2,589,4,Sci-Fi
2,1690,3,Sci-Fi
2,442,3,Sci-Fi
2,3699,2,Sci-Fi
2,480,5,Sci-Fi
2,1372,3,Sci-Fi
2,1196,5,Sci-Fi
2,2717,3,Horror
2,2571,4,Sci-Fi
2,1917,3,Sci-Fi
2,1527,4,Sci-Fi
2,780,3,Sci-Fi
3,1210,4,Sci-Fi
3,2167,5,Horror
3,1580,3,Sci-Fi
3,260,5,Sci-Fi
3,1261,1,Horror
3,480,4,Sci-Fi
3,1196,4,Sci-Fi
3,1270,3,Sci-Fi
3,2617,2,Horror
4,1210,3,Sci-Fi
4,1214,4,Sci-Fi
4,260,5,Sci-Fi
4,480,4,Sci-Fi
4,1196,2,Sci-Fi
4,1097,4,Sci-Fi
4,3702,4,Sci-Fi
4,2366,4,Horror
4,1387,5,Horror
4,3527,1,Sci-Fi
4,1240,5,Sci-Fi
5,1175,5,Sci-Fi
5,2916,1,Sci-Fi
5,3793,2,Sci-Fi
5,2560,4,Horror
5,1909,3,Sci-Fi
5,3081,3,Horror
5,2428,3,Sci-Fi
5,2716,3,Horror
5,2717,1,Horror
5,2571,5,Sci-Fi
5,1127,1,Sci-Fi
5,3016,4,Horror
5,1921,4,Sci-Fi
5,968,3,Sci-Fi
5,2159,1,Horror
5,1580,4,Sci-Fi
5,1653,2,Sci-Fi
5,3476,3,Horror
5,24,1,Sci-Fi
5,29,5,Sci-Fi
5,1527,3,Sci-Fi
5,3499,3,Horror
5,32,4,Sci-Fi
6,1210,3,Sci-Fi
6,3699,4,Sci-Fi
7,2916,5,Sci-Fi
7,3793,3,Sci-Fi
7,589,5,Sci-Fi
7,442,4,Sci-Fi
7,1196,5,Sci-Fi
7,2571,5,Sci-Fi
7,1997,5,Horror
7,1270,4,Sci-Fi
7,1573,4,Sci-Fi
7,1580,4,Sci-Fi
7,480,4,Sci-Fi
8,2916,5,Sci-Fi
8,589,5,Sci-Fi
8,2571,5,Sci-Fi
8,1274,5,Sci-Fi
8,741,5,Sci-Fi
8,1573,4,Sci-Fi
8,1210,4,Sci-Fi
8,253,5,Horror
8,1653,5,Sci-Fi
8,1580,4,Sci-Fi
8,2600,2,Sci-Fi
8,480,5,Sci-Fi
8,24,4,Sci-Fi
8,2699,5,Sci-Fi
9,3793,4,Sci-Fi
9,2571,5,Sci-Fi
9,1921,4,Sci-Fi
9,1356,3,Sci-Fi
9,1210,4,Sci-Fi
9,3826,2,Sci-Fi
9,1653,4,Sci-Fi
9,1584,5,Sci-Fi
9,480,4,Sci-Fi
10,2628,3,Sci-Fi
10,1756,4,Horror
10,1320,3,Sci-Fi
10,2054,4,Sci-Fi
10,1253,5,Sci-Fi
10,1831,5,Sci-Fi
10,589,4,Sci-Fi
10,1690,4,Sci-Fi
10,2498,4,Sci-Fi
10,1339,5,Horror
10,1196,5,Sci-Fi
10,2640,5,Sci-Fi
10,2716,4,Horror
10,2717,4,Horror
10,2571,5,Sci-Fi
10,2140,5,Sci-Fi
10,1270,4,Sci-Fi
10,1345,3,Horror
10,671,3,Sci-Fi
